Date, Close
2021-01-04,346.2312316894531
2021-01-05,348.61578369140625
2021-01-06,350.70001220703125
2021-01-07,355.91058349609375
2021-01-08,357.9384460449219
2021-01-11,355.5256652832031
2021-01-12,355.60076904296875
2021-01-13,356.558349609375
2021-01-14,355.3096923828125
2021-01-15,352.71856689453125
2021-01-19,355.4880676269531
2021-01-20,360.4076232910156
2021-01-21,360.7362060546875
2021-01-22,359.4593505859375
2021-01-25,360.876953125
2021-01-26,360.3136901855469
2021-01-27,351.5075378417969
2021-01-28,354.530517578125
2021-01-29,347.43292236328125
2021-02-01,353.21612548828125
2021-02-02,358.2107238769531
2021-02-03,358.4923095703125
2021-02-04,362.56689453125
2021-02-05,363.993896484375
2021-02-08,366.62261962890625
2021-02-09,366.3785095214844
2021-02-10,366.2189025878906
2021-02-11,366.81036376953125
2021-02-12,368.6223449707031
2021-02-16,368.30316162109375
2021-02-17,368.38763427734375
2021-02-18,366.81982421875
2021-02-19,366.1719665527344
2021-02-22,363.35546875
2021-02-23,363.7967224121094
2021-02-24,367.8055419921875
2021-02-25,358.9429931640625
2021-02-26,357.0934753417969
2021-03-01,365.7494812011719
2021-03-02,362.89544677734375
2021-03-03,358.0887145996094
2021-03-04,353.6573791503906
2021-03-05,360.1634826660156
2021-03-08,358.37030029296875
2021-03-09,363.4869384765625
2021-03-10,365.7494812011719
2021-03-11,369.4578552246094
2021-03-12,369.9554748535156
2021-03-15,372.1617431640625
2021-03-16,371.69232177734375
2021-03-17,372.959716796875
2021-03-18,367.5332336425781
2021-03-19,366.8532409667969
2021-03-22,369.7825927734375
2021-03-23,366.8720703125
2021-03-24,365.0071105957031
2021-03-25,367.0605163574219
2021-03-26,372.97564697265625
2021-03-29,372.7872619628906
2021-03-30,371.7982177734375
2021-03-31,373.30523681640625
2021-04-01,377.3365783691406
2021-04-05,382.7525329589844
2021-04-06,382.52655029296875
2021-04-07,382.96923828125
2021-04-08,384.787109375
2021-04-09,387.58453369140625
2021-04-12,387.7258605957031
2021-04-13,388.875
2021-04-14,387.54693603515625
2021-04-15,391.7100830078125
2021-04-16,393.0194091796875
2021-04-19,391.0884704589844
2021-04-20,388.2250061035156
2021-04-21,391.8984375
2021-04-22,388.3192443847656
2021-04-23,392.529541015625
2021-04-26,393.3489990234375
2021-04-27,393.2642517089844
2021-04-28,393.15130615234375
2021-04-29,395.65673828125
2021-04-30,393.0570373535156
2021-05-03,393.90478515625
2021-05-04,391.474609375
2021-05-05,391.5970153808594
2021-05-06,394.7242126464844
2021-05-07,397.5970153808594
2021-05-10,393.6598205566406
2021-05-11,390.1465759277344
2021-05-12,381.8578186035156
2021-05-13,386.44488525390625
2021-05-14,392.37890625
2021-05-17,391.38043212890625
2021-05-18,388.0084228515625
2021-05-19,386.99114990234375
2021-05-20,391.1544494628906
2021-05-21,390.8341064453125
2021-05-24,394.8183898925781
2021-05-25,393.94244384765625
2021-05-26,394.7242126464844
2021-05-27,394.9314270019531
2021-05-28,395.6379089355469
2021-06-01,395.28936767578125
2021-06-02,395.9110412597656
2021-06-03,394.44158935546875
2021-06-04,398.0491027832031
2021-06-07,397.66302490234375
2021-06-08,397.7477111816406
2021-06-09,397.15435791015625
2021-06-10,399.00048828125
2021-06-11,399.6597900390625
2021-06-14,400.5545959472656
2021-06-15,399.8199157714844
2021-06-16,397.5876159667969
2021-06-17,397.4556884765625
2021-06-18,392.0938720703125
2021-06-21,397.7071838378906
2021-06-22,399.8333435058594
2021-06-23,399.3514404296875
2021-06-24,401.7138366699219
2021-06-25,403.1407165527344
2021-06-28,403.9534912109375
2021-06-29,404.1708068847656
2021-06-30,404.5110168457031
2021-07-01,406.7506103515625
2021-07-02,409.8595886230469
2021-07-06,409.1130676269531
2021-07-07,410.558837890625
2021-07-08,407.213623046875
2021-07-09,411.560546875
2021-07-12,413.0347900390625
2021-07-13,411.6267395019531
